Sample ID,Site,Date,Time,Type,NRS_LWIA_notes,dD,d18O,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Notes
RI23-1085,Hungerford,3/31/2023,14:00,Grab/Isco,,-73.371,-11.14,NA.,46.7099,NA.,NA.,17.7291,NA.,28.3016,0.060061922,0.017483861,0.000458481,-0.009881379,1.922939017,1.907550724,0.020223105,6.349480788,14.15258709,-0.061110235,44.48903756,
RI23-1086,Hungerford,3/31/2023,20:00,Grab/Isco,,-73.302,-10.999,NA.,46.1899,NA.,NA.,18.091,NA.,28.2653,0.068862419,0.016706546,0.000210625,-0.012719974,1.800990001,1.855667937,0.011242127,6.264499671,14.19304238,-0.042525829,38.66925221,
RI23-1087,Hungerford,4/1/2023,2:00,Grab/Isco,,-73.286,-10.867,NA.,47.6926,NA.,NA.,18.4391,NA.,29.7613,0.073389681,0.033095115,-0.000588859,-0.005107211,1.717275929,2.125236892,0.046927467,6.874166194,14.48239014,-0.02589841,37.27422707,
RI23-1088,Hungerford,4/1/2023,8:00,Grab/Isco,,-73.13,-10.889,NA.,48.6067,NA.,NA.,17.7346,NA.,29.2532,0.070637424,0.020082108,0.00050659,-0.012105197,1.691012978,2.037879893,0.014196681,6.473914354,15.00412892,-0.048246078,42.02868815,
RI23-1089,Hungerford,4/1/2023,14:00,Grab/Isco,,-71.721,-10.743,NA.,45.1974,NA.,NA.,11.615,NA.,25.619,0.09371576,0.022349993,0.000771412,0.012555797,1.92348851,3.179864224,0.085974481,6.329468583,13.72267556,0.036606383,38.94465603,
RI23-1090,Hungerford,4/1/2023,20:00,Grab/Isco,,-71.931,-10.744,NA.,43.8915,NA.,NA.,9.0166,NA.,21.9969,,,,,,,,,,,,
RI23-1091,Hungerford,4/2/2023,2:00,Grab/Isco,,-73.063,-10.739,NA.,37.0301,NA.,NA.,8.1136,NA.,18.7213,0.083669189,-0.00226064,0.00045717,-0.011512518,1.800713462,1.923754303,0.00481706,4.965463844,11.85698455,-0.001827759,28.6246763,
RI23-1092,Hungerford,4/2/2023,8:00,Grab/Isco,,-73.732,-10.545,NA.,30.9325,NA.,NA.,7.675,NA.,17.7209,,,,,,,,,,,,
RI23-1093,Wade,4/10/2023,6:00,Grab/Isco,,-84.793,-12.564,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.00863596,-0.000980345,-0.000832858,-0.003494147,1.150045414,0.241614625,-0.021311297,0.364991639,-0.80725895,0.043509883,2.786990661,
RI23-1094,Wade,4/10/2023,12:00,Grab/Isco,,-84.459,-12.484,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.007476417,0.000206288,-0.001158914,-0.005412438,1.017872869,0.245271537,-0.016455663,0.357069259,-0.84219619,0.038871603,2.698008937,
RI23-1095,Wade,4/10/2023,18:00,Grab/Isco,,-85.437,-12.629,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.000523073,-0.01474231,-0.000116398,-0.002091972,0.976825194,0.002551917,-0.04345004,0.307319519,-0.875760075,0.022753804,2.460775089,
RI23-1096,Wade,4/11/2023,0:00,Grab/Isco,vial is missing,NA,NA,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.009029928,-0.000673684,-0.001201484,0.001432663,0.947297288,0.231896354,-0.014212064,0.294665178,-0.869760777,0.066334377,2.411926803,
RI23-1097,Wade,4/11/2023,6:00,Grab/Isco,,-86.183,-12.693,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.005308506,-0.015564569,-0.0000026658,-0.009873745,0.859895617,0.026292909,-0.047404996,0.287033152,-0.889368313,0.027770743,2.290268873,
RI23-1099,Hungerford,4/11/2023,13:30,Grab/Isco,,-68.677,-9.988,NA.,57.1979,NA.,NA.,18.9724,NA.,30.9204,0.068305274,0.026475289,-0.000849062,-0.005995976,1.168095632,2.257125662,0.036872676,6.879177807,16.28033444,-0.019193651,40.23150622,
RI23-1100,Wade,4/11/2023,16:00,Grab/Isco,,-86.889,-12.713,NA,1.779603237,NA,NA,2.556605766,1.595329548,5.863016648,-0.003002955,-0.015022065,0.000546942,-0.004406859,0.733681535,0.050678134,-0.046811064,0.227469347,-0.949228025,0.045719201,1.923157102,
RI23-1101,Wade,4/12/2023,0:00,Grab/Isco,,-88.178,-12.949,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.005325502,-0.014964109,0.000660561,-0.007599487,0.659190765,0.046483474,-0.050560379,0.228322849,-0.967000136,0.075819377,1.820530903,
RI23-1102,Wade,4/12/2023,8:00,Grab/Isco,,-87.574,-12.842,NA.,NA.,NA.,NA.,NA.,NA.,NA.,,,,,,,,,,,,
